Grid_Cell,pm_x,pm_y,pm_lat,pm_lon,ID,
18629.000000,-1317471.462816,-408181.694129,35.880404,-109.438003,1.000000,
17341.000000,-1412536.549804,-907919.646564,31.349200,-109.539683,2.000000,
15416.000000,-1533056.608485,-448950.084329,35.206111,-111.652777,3.000000,
12723.000000,-1715508.397872,-516886.022938,34.243900,-113.558600,4.000000,
14328.000000,-1611948.830557,-629286.465056,33.483850,-112.142570,5.000000,
14684.000000,-1588340.932769,-641982.182712,33.410450,-111.865070,6.000000,
14508.000000,-1598226.208957,-616187.469751,33.560330,-112.066260,7.000000,
14329.000000,-1612011.902159,-617664.549700,33.574540,-112.191960,8.000000,
14506.000000,-1597305.904851,-638638.842502,33.403160,-112.075330,9.000000,
14506.000000,-1598975.239266,-640308.176916,33.396250,-111.967972,10.000000,
14685.000000,-1586224.040580,-628178.811561,33.488242,-111.855654,11.000000,
14507.000000,-1597165.864251,-626813.721388,33.503833,-112.095767,12.000000,
13272.000000,-1675193.381643,-384945.881736,35.540017,-113.410782,13.000000,
15567.000000,-1531762.446619,-775502.514407,32.322661,-111.038389,14.000000,
14679.000000,-1589503.539269,-701578.190777,32.877583,-111.752222,15.000000,
15221.000000,-1551279.876754,-641849.953119,33.421194,-111.503222,16.000000,
14503.000000,-1598420.482478,-674814.213093,33.010530,-111.972050,17.000000,
15380.000000,-1545578.694226,-882190.849558,31.337204,-110.936718,18.000000,
14338.000000,-1605320.938443,-505791.637986,34.595000,-112.331000,19.000000,
10731.000000,-1852027.216125,-669931.105097,32.690278,-114.614440,20.000000,
3318.000000,-2337850.371654,39050.587035,37.687526,-121.784217,21.000000,
2887.000000,-2372887.824275,52627.142777,37.743065,-122.169935,22.000000,
2888.000000,-2373417.810566,63784.632058,37.814781,-122.282347,23.000000,
4127.000000,-2272013.380305,253701.504835,39.761538,-121.841620,24.000000,
4804.000000,-2230400.108449,59093.712001,38.201852,-120.681567,25.000000,
3330.000000,-2332592.311476,184548.530994,39.021221,-122.281803,26.000000,
3639.000000,-2308630.671324,207265.502010,39.202935,-122.017728,27.000000,
3173.000000,-2348676.299910,63907.470158,37.936013,-122.026154,28.000000,
2889.000000,-2371987.057242,76901.253708,37.960400,-122.356811,29.000000,
5336.000000,-2198406.134413,-109453.479219,36.781333,-119.773190,30.000000,
4436.000000,-2256025.365140,-105527.207068,36.634225,-120.382331,31.000000,
5519.000000,-2184550.317547,-107906.153696,36.819111,-119.717356,32.000000,
5335.000000,-2197839.459125,-120573.058168,36.726390,-119.733000,33.000000,
2781.000000,-2375165.845149,436629.116790,41.047117,-123.675233,34.000000,
2263.000000,-2424530.628631,424813.329905,40.801780,-124.162100,35.000000,
9469.000000,-1933611.881842,-641978.207628,32.676186,-115.484144,36.000000,
9471.000000,-1933122.211164,-618114.374579,32.978330,-115.539170,37.000000,
9470.000000,-1934919.102824,-631598.991473,32.792220,-115.563060,38.000000,
7696.000000,-2044382.399385,-185566.343345,36.487823,-117.871036,39.000000,
5688.000000,-2177279.523517,-276556.689994,35.385574,-119.015009,40.000000,
6775.000000,-2106992.713338,-338556.890259,35.050551,-118.147294,41.000000,
7688.000000,-2045258.899683,-279935.424806,35.621090,-117.672960,42.000000,
5687.000000,-2176813.586397,-287777.855836,35.322928,-118.999167,43.000000,
5329.000000,-2199496.682725,-192349.785846,36.102180,-119.566954,44.000000,
5331.000000,-2198514.019560,-167993.140207,36.314399,-119.644570,45.000000,
2628.000000,-2392161.737644,209897.422373,39.032700,-122.922290,46.000000,
6767.000000,-2109877.047446,-434935.237117,34.136500,-117.923910,47.000000,
6222.000000,-2146575.617091,-423019.696191,34.176050,-118.317120,48.000000,
6221.000000,-2144847.957675,-432977.850380,34.066590,-118.226880,49.000000,
5858.000000,-2167971.831304,-419797.317351,34.199250,-118.532760,50.000000,
6219.000000,-2147372.647355,-458876.296511,33.901389,-118.205000,51.000000,
6402.000000,-2133629.748464,-445756.258010,34.011940,-118.069950,52.000000,
6403.000000,-2134522.258393,-434961.117617,34.132600,-118.127200,53.000000,
6218.000000,-2146030.706644,-469221.155263,33.823760,-118.189210,54.000000,
6590.000000,-2120215.359660,-374530.969797,34.671394,-118.131456,55.000000,
5706.000000,-2169962.537204,-58882.033910,37.213600,-119.699065,56.000000,
5156.000000,-2207976.512792,-83341.573710,36.953256,-120.034203,57.000000,
2752.000000,-2382662.431671,90221.718242,37.972310,-122.520004,58.000000,
2498.000000,-2403660.549857,222393.593174,39.150470,-123.206550,59.000000,
2501.000000,-2402899.145411,258214.963228,39.411740,-123.352640,60.000000,
4795.000000,-2229178.386827,-44866.096294,37.281598,-120.434992,61.000000,
4617.000000,-2243804.826762,-35496.172962,37.308537,-120.480993,62.000000,
2875.000000,-2376772.839194,-91495.175464,36.495767,-121.731571,63.000000,
3455.000000,-2330920.483084,-141626.824360,36.209286,-121.126371,64.000000,
3162.000000,-2350492.589182,-66461.086490,36.696760,-121.637182,65.000000,
3033.000000,-2360572.450285,111066.820363,38.310942,-122.296189,66.000000,
4814.000000,-2227029.369325,179329.189538,39.234331,-121.056591,67.000000,
5907.000000,-2153984.585444,166832.118053,39.338504,-120.171291,68.000000,
6582.000000,-2124979.660095,-472787.496674,33.830620,-117.938450,69.000000,
6943.000000,-2098157.379248,-493957.013902,33.630030,-117.675930,70.000000,
4632.000000,-2237589.111150,146017.584092,38.935578,-121.100648,71.000000,
4285.000000,-2264242.375022,132298.751234,38.745726,-121.266312,72.000000,
5184.000000,-2200263.109580,251596.633305,39.937099,-120.938821,73.000000,
5730.000000,-2165710.318202,225849.528245,39.808333,-120.471667,74.000000,
7667.000000,-2051655.843376,-531751.597447,33.447867,-117.088649,75.000000,
7309.000000,-2075052.704840,-472095.958489,33.946030,-117.400630,76.000000,
8215.000000,-2013893.570102,-484169.265970,33.944713,-116.830074,77.000000,
8937.000000,-1968190.731541,-522763.929899,33.708530,-116.215370,78.000000,
8576.000000,-1990224.569196,-496805.250271,33.852750,-116.541010,79.000000,
7310.000000,-2073842.694138,-459199.017628,33.999580,-117.416010,80.000000,
4116.000000,-2276644.169398,120518.572420,38.613779,-121.368014,81.000000,
3951.000000,-2288479.509598,120991.766856,38.558228,-121.492981,82.000000,
4455.000000,-2250794.025296,121750.453803,38.683304,-121.164457,83.000000,
3461.000000,-2328075.619914,-68664.077716,36.844096,-121.362121,84.000000,
6946.000000,-2096881.567968,-457622.277741,34.037234,-117.690889,85.000000,
7677.000000,-2050755.318634,-413984.183199,34.510014,-117.331433,86.000000,
7311.000000,-2074318.361023,-447990.147703,34.100020,-117.492010,87.000000,
8218.000000,-2015586.345111,-450803.013205,34.264444,-116.864444,88.000000,
7673.000000,-2048506.010939,-458481.322917,34.106880,-117.274110,89.000000,
7480.000000,-2065979.977466,-603884.587571,32.791194,-116.942092,90.000000,
7483.000000,-2066212.275400,-569057.922188,33.127711,-117.075325,91.000000,
7842.000000,-2042991.446393,-605516.957091,32.842242,-116.768225,92.000000,
7121.000000,-2087618.084667,-542473.426723,33.217025,-117.396158,93.000000,
8384.000000,-2005414.287876,-628239.765359,32.725226,-116.365203,94.000000,
7299.000000,-2078393.387134,-592302.274059,32.845467,-117.123894,95.000000,
7485.000000,-2063173.140108,-542644.788337,33.362593,-117.090230,96.000000,
3945.000000,-2290172.562527,49179.327899,37.950741,-121.268523,97.000000,
3944.000000,-2289115.383305,38549.813293,37.793231,-121.248720,98.000000,
3601.000000,-2322753.570018,-250948.147937,35.256577,-120.669861,99.000000,
3761.000000,-2308065.480136,-225196.193549,35.491580,-120.668040,100.000000,
2885.000000,-2372185.269662,29956.233453,37.482934,-122.203370,101.000000,
4415.000000,-2262837.574176,-357758.673274,34.427775,-119.691218,102.000000,
3756.000000,-2310263.503472,-285828.261233,34.949147,-120.437630,103.000000,
4244.000000,-2276199.443970,-358810.546780,34.445510,-119.828400,104.000000,
3311.000000,-2340073.526059,-44977.914498,36.999571,-121.574684,105.000000,
3024.000000,-2362464.396709,3994.225265,37.348497,-121.894898,106.000000,
3168.000000,-2349658.808915,4490.391327,37.338135,-121.849783,107.000000,
2880.000000,-2375955.810375,-32248.225174,36.983921,-121.989328,108.000000,
2743.000000,-2385907.086883,-18201.880087,37.048008,-122.075695,109.000000,
3809.000000,-2294347.989860,349476.290375,40.549985,-122.382011,110.000000,
3810.000000,-2295025.559510,360486.714092,40.630400,-122.403100,111.000000,
3811.000000,-2291418.390187,375780.256054,40.691840,-122.401790,112.000000,
3981.000000,-2277739.262604,482330.898435,41.726892,-122.633579,113.000000,
3031.000000,-2360573.378701,87693.266966,38.102507,-122.237976,114.000000,
2622.000000,-2394149.180459,137790.847601,38.443503,-122.710169,115.000000,
4107.000000,-2277271.919183,14710.652068,37.641583,-120.994622,116.000000,
4273.000000,-2268165.290165,-11865.966857,37.487981,-120.837005,117.000000,
4121.000000,-2273584.316160,182010.377858,39.138773,-121.618549,118.000000,
3347.000000,-2329338.946248,386474.313711,40.734750,-122.941200,119.000000,
5879.000000,-2161754.865282,-168161.852656,36.332179,-119.291228,120.000000,
5494.000000,-2194389.701038,-409909.319758,34.210154,-118.870496,121.000000,
5679.000000,-2180502.731070,-384959.129445,34.404268,-118.809946,122.000000,
5132.000000,-2216659.858483,-372503.397326,34.448048,-119.231321,123.000000,
5677.000000,-2179611.276921,-407441.843750,34.276362,-118.683757,124.000000,
5130.000000,-2218971.564546,-398187.278957,34.252378,-119.143176,125.000000,
3791.000000,-2299099.456996,134367.220756,38.661210,-121.732690,126.000000,
25040.000000,-873427.723429,-33296.125894,39.826007,-104.937438,127.000000,
25038.000000,-874179.393294,-57420.311518,39.604399,-105.019526,128.000000,
25044.000000,-871284.150893,15592.497346,40.164576,-105.100856,129.000000,
24690.000000,-897518.347468,-9394.633975,40.021097,-105.263382,130.000000,
24862.000000,-887532.044152,-58463.141511,39.534488,-105.070358,131.000000,
25212.000000,-863107.102908,-82031.310681,39.332928,-104.745221,132.000000,
25031.000000,-876487.257751,-141533.913378,38.848014,-104.828564,133.000000,
21146.000000,-1139859.153307,-40612.994572,39.438060,-108.026110,134.000000,
21302.000000,-1132122.102500,-290605.410489,37.136780,-107.628630,135.000000,
20948.000000,-1156532.952904,-290396.750268,37.102580,-107.870219,136.000000,
25047.000000,-873135.206271,48802.278479,40.571288,-105.079693,137.000000,
20434.000000,-1189626.604412,-76205.764431,39.063798,-108.561173,138.000000,
20062.000000,-1215535.994792,-264480.937210,37.350054,-108.592334,139.000000,
25378.000000,-854707.153453,-202805.455063,38.276099,-104.597613,140.000000,
20444.000000,-1184546.393966,45742.341396,40.086944,-108.761389,141.000000,
25398.000000,-846899.349395,38733.789889,40.414877,-104.706930,142.000000,
25396.000000,-848132.463294,14127.428316,40.209387,-104.824050,143.000000,
16737.000000,-1426616.332697,412759.524201,42.978248,-112.455813,144.000000,
13383.000000,-1640948.784158,946511.233303,47.316577,-116.571281,145.000000,
17083.000000,-1405202.048575,292691.395861,42.013333,-111.809167,146.000000,
15688.000000,-1491737.789601,678597.439090,45.181897,-113.890285,147.000000,
13744.000000,-1617018.788598,969196.520464,47.536389,-116.236667,148.000000,
21217.000000,-1117625.691620,811367.471965,47.048537,-109.455315,149.000000,
16253.000000,-1446940.772969,1025378.629252,48.363694,-114.189272,150.000000,
18376.000000,-1307349.461274,830275.412719,46.850500,-111.987164,151.000000,
18196.000000,-1322863.155121,803697.421036,46.658762,-112.013089,152.000000,
14825.000000,-1544041.661428,1050124.582361,48.391545,-115.553309,153.000000,
16060.000000,-1464995.516564,856020.995537,46.842181,-114.021499,154.000000,
15883.000000,-1475365.898799,881332.765703,47.012907,-114.224273,155.000000,
23177.000000,-980552.560274,941593.163571,48.317507,-107.862471,156.000000,
25444.000000,-835119.673494,588096.943281,45.440295,-105.370283,157.000000,
15698.000000,-1488947.018423,798255.090839,46.243621,-114.158889,158.000000,
26881.000000,-730784.027007,851063.947394,47.803392,-104.485552,159.000000,
24209.000000,-918581.574341,590797.228084,45.366151,-106.489820,160.000000,
17478.000000,-1370180.054290,735497.860916,46.002602,-112.501247,161.000000,
11302.000000,-1804923.912803,-297469.492366,36.048740,-115.052881,162.000000,
11303.000000,-1805199.016666,-286056.777636,36.141895,-115.078725,163.000000,
11124.000000,-1815155.665503,-272019.798478,36.163959,-115.113916,164.000000,
10760.000000,-1841682.020572,-320673.115312,35.785671,-115.357048,165.000000,
10946.000000,-1828936.873208,-250118.470460,36.357786,-115.362234,166.000000,
6267.000000,-2130936.534345,118515.294195,38.897557,-119.732507,167.000000,
6454.000000,-2117724.300496,177852.592709,39.525083,-119.807717,168.000000,
6636.000000,-2104021.788109,179246.201953,39.540917,-119.746761,169.000000,
6451.000000,-2117678.252589,142838.079556,39.144700,-119.766100,170.000000,
22169.000000,-1078608.450590,-532367.551291,35.134300,-106.585200,171.000000,
22168.000000,-1078235.995738,-543681.990283,35.017080,-106.657390,172.000000,
21434.000000,-1136089.907482,-832776.815267,32.322037,-106.768337,173.000000,
26565.000000,-788382.042703,-830345.520585,32.726656,-103.122917,174.000000,
20413.000000,-1194933.705966,-326928.692430,36.774162,-108.165034,175.000000,
23059.000000,-1017316.668985,-474188.410113,35.671142,-105.954188,176.000000,
7226.000000,-2055159.873163,717076.513048,44.299787,-120.844773,177.000000,
9030.000000,-1937562.806276,594718.785462,43.589250,-119.048720,178.000000,
3987.000000,-2276399.814346,553789.344453,42.314110,-122.879230,179.000000,
3670.000000,-2298204.440775,579975.208002,42.434139,-123.348466,180.000000,
5206.000000,-2190846.580005,518117.528391,42.190296,-121.731369,181.000000,
7024.000000,-2073498.427892,477314.963377,42.189215,-120.353969,182.000000,
4507.000000,-2236298.688233,743948.080565,44.067224,-123.141352,183.000000,
4506.000000,-2234015.595481,734544.115454,44.026312,-123.083737,184.000000,
4681.000000,-2222785.662456,733465.872830,44.046696,-123.017704,185.000000,
5221.000000,-2187165.405138,697098.244288,43.744352,-122.480487,186.000000,
4504.000000,-2236463.421999,708723.556691,43.799501,-123.053487,187.000000,
5785.000000,-2146337.175172,887984.344883,45.496641,-122.602877,188.000000,
10134.000000,-1859967.110553,820503.810002,45.652231,-118.823033,189.000000,
10314.000000,-1847879.777958,820281.782418,45.664080,-118.689090,190.000000,
5420.000000,-2170216.601081,900410.387583,45.528501,-122.972398,191.000000,
16723.000000,-1432265.705978,243499.017254,41.492707,-112.018863,192.000000,
17081.000000,-1407677.972596,266840.249936,41.731111,-111.837500,193.000000,
16716.000000,-1434766.922785,159189.689056,40.736389,-111.872222,194.000000,
16180.000000,-1469052.960784,150146.431939,40.543309,-112.299618,195.000000,
19908.000000,-1222628.035778,21213.400042,39.868622,-109.097302,196.000000,
16889.000000,-1424443.546985,98772.695281,40.253611,-111.663056,197.000000,
16890.000000,-1422826.442263,112076.386487,40.341389,-111.713611,198.000000,
16888.000000,-1423881.856927,87647.729372,40.136336,-111.660502,199.000000,
13826.000000,-1634977.301956,-206357.932199,37.179125,-113.305096,200.000000,
14184.000000,-1610398.139911,-206396.247725,37.198300,-113.150600,201.000000,
16720.000000,-1434027.677726,206677.446708,41.206321,-111.975524,202.000000,
9248.000000,-1917845.924184,1034528.776546,47.430610,-120.341950,203.000000,
5968.000000,-2135779.104848,897920.266602,45.648333,-122.586944,204.000000,
6895.000000,-2068316.131610,1102509.594292,47.592675,-122.627397,205.000000,
6891.000000,-2069392.832482,1054686.686336,47.186400,-122.451700,206.000000,
7260.000000,-2045660.895059,1123919.187450,47.806400,-122.316700,207.000000,
8170.000000,-1983083.900686,1148325.622455,48.246900,-121.603100,208.000000,
7444.000000,-2031118.197559,1149526.278576,48.054315,-122.171529,209.000000,
12670.000000,-1688076.675321,1007050.335902,47.672482,-117.364852,210.000000,
7632.000000,-2017071.353517,1221383.835281,48.762780,-122.440280,211.000000,
8697.000000,-1954753.400119,952742.648371,46.598056,-120.499167,212.000000,
24525.000000,-905972.579161,134698.663984,41.311586,-105.591725,213.000000,
21906.000000,-1076650.866007,557687.223407,44.835700,-108.386000,214.000000,
25082.000000,-860244.807099,470723.151889,44.265833,-105.504167,215.000000,
25428.000000,-838382.126516,397848.149977,43.648300,-105.213300,216.000000,
25256.000000,-851364.509331,443922.465019,44.097074,-105.343164,217.000000,
25084.000000,-861056.075432,493285.110582,44.502675,-105.539763,218.000000,
22762.000000,-1025704.453062,208177.961803,41.783389,-107.119184,219.000000,
25068.000000,-864897.125051,302459.775048,42.766972,-105.303528,220.000000,
25074.000000,-863704.797788,373770.322643,43.426621,-105.386453,221.000000,
20998.000000,-1144362.165574,306104.052598,42.529999,-108.720003,222.000000,
22420.000000,-1043733.228864,355005.465027,43.081667,-107.549444,223.000000,
21001.000000,-1141388.105070,344137.117572,42.841049,-108.736277,224.000000,
25945.000000,-810210.654406,225480.977547,42.203452,-104.545153,225.000000,
25404.000000,-846348.061974,109405.801122,41.139976,-104.817801,226.000000,
25582.000000,-833572.774294,121558.284326,41.182227,-104.778334,227.000000,
23832.000000,-948751.621627,316454.443470,42.851064,-106.325088,228.000000,
21017.000000,-1135860.494304,536650.572410,44.532426,-109.072975,229.000000,
23497.000000,-966607.176507,545262.962343,44.815142,-106.955933,230.000000,
23496.000000,-967758.947389,532424.918495,44.795508,-106.958569,231.000000,
19229.000000,-1258526.230268,385150.033948,42.980000,-110.353000,232.000000,
19759.000000,-1224812.811654,358563.868025,42.869824,-109.870760,233.000000,
19402.000000,-1249395.432579,323538.380689,42.486361,-110.098861,234.000000,
20102.000000,-1203457.433226,215060.977663,41.591613,-109.220722,235.000000,
20280.000000,-1190806.645250,215403.258977,41.575000,-109.207000,236.000000,
18878.000000,-1280575.221779,446151.985743,43.478080,-110.761180,237.000000,
